Name,S,Kills,Errors,TotalAttacks,HitPct,Assists,Aces,SErr,Digs,RetAtt,RErr,BlockSolos,BlockAssists,BErr,PTS,BHE,match_id
Rhode Island Col.,4,51,29,192,0.115,48,11,7,112,83,15,1,2,1,64,0,5667764
Fitchburg St.,4,37,25,179,0.067,33,15,8,101,89,11,0,12,2,58,0,5667764
Mount Holyoke,3,29,18,107,0.103,28,17,7,50,43,2,1,4,1,49,0,5667766
Saint Joseph (CT),3,17,25,106,-0.075,15,2,4,49,66,17,0,0,3,19,0,5667766
Nichols,4,35,32,161,0.019,33,9,14,70,89,6,2,2,2,47,0,5667768
WPI,4,45,23,150,0.147,42,6,8,83,69,9,3,6,1,57,0,5667768
Hollins,3,19,21,97,-0.021,18,7,8,42,66,10,1,4,1,29,0,5667770
Saint Vincent,3,32,19,96,0.135,28,10,7,54,48,7,8,0,1,50,0,5667770
Wilmington (OH),4,34,21,123,0.106,29,4,5,51,81,9,1,2,2,40,1,5667773
Oglethorpe,4,54,25,137,0.212,51,9,9,65,69,4,1,6,0,67,0,5667773
Swarthmore,5,45,27,183,0.098,43,8,6,83,98,8,2,10,0,60,0,5667774
Salisbury,5,64,30,188,0.181,58,8,9,95,89,8,4,8,0,80,1,5667774
WestConn,3,26,22,114,0.035,24,3,7,45,70,7,1,4,0,32,3,5667775
Roger Williams,3,34,18,113,0.142,31,7,3,54,52,3,3,6,0,47,6,5667775
Rochester (NY),5,65,36,196,0.148,62,12,11,100,88,6,0,4,0,79,0,5667776
Albion,5,37,14,165,0.139,35,6,3,78,83,12,6,6,0,52,0,5667776
Marietta,4,47,13,140,0.243,40,7,10,66,80,11,1,16,0,63,1,5667777
Calvin,4,49,27,156,0.141,43,11,9,68,81,7,2,8,0,66,0,5667777
Washington Col.,3,39,18,98,0.214,36,9,9,44,44,1,1,6,0,52,0,5667778
Centenary (NJ),3,16,17,79,-0.013,15,1,4,33,64,9,2,0,2,19,0,5667778
Suffolk,3,40,15,93,0.269,39,14,11,47,43,8,1,4,0,57,0,5667779
New England Col.,3,12,17,81,-0.062,10,8,4,34,63,14,1,0,1,21,0,5667779
St. Joseph's (ME),3,28,16,84,0.143,26,11,7,32,51,7,3,10,2,47,0,5667780
Southern Me.,3,18,24,87,-0.069,16,7,6,28,66,11,1,0,0,26,0,5667780
SUNY Brockport,4,50,36,163,0.086,45,7,10,70,89,11,2,8,0,63,0,5667781
Stevenson,4,39,22,138,0.123,38,11,6,67,77,7,2,16,3,60,0,5667781
Meredith,5,55,26,163,0.178,47,14,9,71,93,11,1,8,1,74,0,5667782
Roanoke,5,54,23,160,0.194,49,11,12,68,95,14,0,18,1,74,0,5667782
Salem (NC),4,57,16,146,0.281,51,7,5,68,88,14,2,6,0,69,0,5667783
Guilford,4,59,15,150,0.293,54,14,10,63,85,7,1,10,2,79,0,5667783
Penn St. Harrisburg,4,50,27,161,0.143,46,12,7,78,80,10,2,7,2,67.5,0,5667784
Notre Dame (MD),4,40,16,148,0.162,40,10,8,70,81,12,2,6,0,55,0,5667784
Saint Mary's (MN),4,46,19,183,0.148,40,7,11,95,77,5,5,0,0,58,0,5667785
Rose-Hulman,4,26,21,168,0.03,25,5,6,88,82,7,2,0,0,33,0,5667785
Westminster (PA),4,63,24,184,0.212,53,13,8,84,86,5,1,2,0,78,1,5667791
RIT,4,48,16,157,0.204,43,5,4,82,95,13,2,8,2,59,2,5667791
Warren Wilson,3,30,16,105,0.133,27,5,9,39,66,4,1,0,0,36,0,5667863
CarolinaU,3,40,15,110,0.227,35,4,9,44,56,5,3,6,0,50,0,5667863
SUNY Potsdam,4,36,16,117,0.171,34,10,3,63,65,9,1,11,0,52.5,0,5667754
Plattsburgh St.,4,45,33,146,0.082,42,9,12,59,89,10,1,4,2,57,0,5667754
Bob Jones,5,46,24,179,0.123,43,12,7,71,101,7,1,16,0,67,0,5667755
Averett,5,73,23,174,0.287,71,7,10,94,86,12,2,10,1,87,0,5667755
Heidelberg,5,40,20,152,0.132,36,9,8,63,94,10,0,14,0,56,2,5667798
Grove City,5,47,24,154,0.149,47,10,9,71,90,9,1,8,0,62,3,5667798
Muskingum,5,67,27,178,0.225,63,13,9,70,98,8,0,12,1,86,0,5667799
Hiram,5,61,15,159,0.289,60,8,8,68,94,13,1,14,1,77,0,5667799
Manchester,3,30,21,103,0.087,28,8,6,38,64,6,0,12,0,44,2,5667800
Allegheny,3,35,11,91,0.264,33,6,9,38,57,8,0,4,0,43,1,5667800
Ohio Northern,3,35,8,79,0.342,31,10,2,35,35,4,8,2,1,54,0,5667801
Chatham,3,24,20,86,0.047,23,4,6,31,72,10,4,2,0,33,0,5667801
Mary Washington,3,38,14,88,0.273,36,10,7,41,50,11,2,8,1,54,0,5667803
Geneva,3,24,19,92,0.054,24,11,7,34,67,10,1,4,1,38,0,5667803
Marymount (VA),3,32,19,98,0.133,29,6,4,36,68,6,3,4,0,43,0,5667804
Kean,3,45,15,104,0.288,40,6,6,39,57,6,3,6,3,57,0,5667804
Regis (MA),5,46,25,146,0.144,46,13,8,46,86,6,0,10,0,64,0,5667806
Endicott,5,55,19,135,0.267,52,6,12,56,87,13,0,14,0,68,2,5667806
Ursinus,3,37,4,78,0.423,36,9,6,33,47,2,0,10,1,51,0,5667807
Salve Regina,3,39,19,96,0.208,37,2,8,34,67,9,0,0,0,41,1,5667807
Penn St.-Mont Alto,3,24,13,83,0.133,22,2,1,30,72,11,7,10,3,38,0,5667809
Hartwick,3,52,28,117,0.205,50,11,4,42,58,2,3,4,0,68,0,5667809
Pensacola Christian,3,66,36,220,0.136,62,12,16,112,134,24,8,0,0,86,2,5668049
LaGrange,3,70,32,226,0.168,62,24,14,108,114,12,4,0,0,98,0,5668049
St. Norbert,4,42,27,147,0.102,41,8,11,64,75,9,1,12,0,57,0,5667689
Hamline,4,34,26,135,0.059,33,9,8,66,77,8,3,10,0,51,0,5667689
Centre,4,67,14,151,0.351,58,8,11,60,79,9,2,18,0,86,0,5667616
Pomona-Pitzer,4,47,14,137,0.241,39,9,6,57,89,8,3,4,1,61,2,5667616
Huntingdon,3,23,20,90,0.033,20,1,5,41,63,5,0,2,0,25,0,5667811
Emory,3,43,13,104,0.288,40,5,11,39,44,1,1,14,0,56,0,5667811
Mt. St. Joseph,5,48,24,161,0.149,42,13,6,76,89,7,2,12,0,69,0,5667813
Wittenberg,5,54,37,178,0.096,50,7,8,84,102,13,2,10,1,68,0,5667813
Manhattanville,4,45,31,154,0.091,43,6,9,59,89,6,1,2,0,53,2,5667815
Emerson,4,47,16,136,0.228,45,6,7,61,67,6,1,16,4,62,0,5667815
Nazareth,3,32,18,105,0.133,29,12,8,36,69,12,0,8,2,48,0,5667817
Manhattanville,3,35,12,92,0.25,34,12,5,43,56,12,1,8,1,52,0,5667817
St. Joseph's (L.I.),3,24,18,117,0.051,24,2,6,59,68,11,0,4,0,28,0,5667820
NYU,3,39,15,124,0.194,38,11,6,67,42,2,0,6,0,53,0,5667820
Westfield St.,3,21,17,76,0.053,20,4,7,28,67,16,0,16,0,33,0,5667825
Keene St.,3,34,20,84,0.167,34,16,7,36,46,4,3,8,0,57,0,5667825
Stevens,5,60,24,167,0.216,59,4,10,69,100,13,2,22,1,77,0,5667826
Ithaca,5,58,32,174,0.149,53,13,6,70,92,4,1,16,1,80,0,5667826
Otterbein,3,41,15,113,0.23,39,9,7,38,60,2,2,8,0,56,0,5667827
Ill. Wesleyan,3,36,23,109,0.119,35,2,4,39,68,9,2,6,0,43,0,5667827
York (PA),4,37,22,124,0.121,32,10,16,45,71,9,1,14,1,55,0,5682645
Southern Va.,4,30,24,104,0.058,29,9,9,53,67,10,1,8,0,44,0,5682645
Smith,3,34,9,68,0.368,33,14,12,28,35,2,6,10,0,59,0,5667834
Elmira,3,14,19,70,-0.071,12,2,7,20,61,14,0,4,0,18,0,5667834
Randolph,4,52,22,149,0.201,32,2,5,94,64,2,3,12,5,63,21,5667887
St. Mary's (MD),4,24,17,165,0.042,22,5,6,78,85,2,6,2,7,36,31,5667887
SUNY Delhi,4,51,12,122,0.32,46,13,9,72,57,10,1,0,1,65,1,5667886
Mitchell,4,29,22,133,0.053,25,10,9,52,87,13,1,0,2,40,0,5667886
Delaware Valley,5,49,32,196,0.087,44,15,6,86,93,6,2,10,4,71,1,5667884
Cedar Crest,5,57,28,185,0.157,53,6,12,98,104,15,6,14,1,76,0,5667884
Wooster,4,32,21,114,0.096,29,8,8,38,88,13,1,4,0,43,0,5667881
Trine,4,41,10,104,0.298,35,13,7,42,56,8,0,10,0,59,0,5667881
Mt. St. Mary (NY),3,18,14,109,0.037,13,5,8,41,69,14,0,0,0,23,0,5667878
Utica,3,33,11,110,0.2,29,14,4,59,37,5,0,0,0,47,0,5667878
Alfred,4,38,14,74,0.324,32,8,12,38,0,8,3,10,8,54,0,5667877
St. Lawrence,4,20,27,104,-0.067,18,7,13,41,0,7,1,8,1,32,0,5667877
Clark (MA),3,28,11,85,0.2,25,6,9,26,67,10,0,4,0,36,0,5667835
William Smith,3,45,10,85,0.412,40,10,7,42,44,6,0,4,0,57,0,5667835
Redlands,4,53,26,153,0.176,45,8,4,59,94,10,4,2,0,66,0,5667674
Pacific Lutheran,4,52,15,144,0.257,45,10,6,61,85,8,6,2,0,69,0,5667674
Wis.-Platteville,3,53,17,123,0.293,51,5,8,43,61,3,4,0,8,62,0,5667592
Westminster (MO),3,30,14,95,0.168,30,3,1,47,65,5,3,4,10,38,0,5667592
Fontbonne,4,57,18,154,0.253,53,6,9,75,85,8,3,2,3,67,0,5667761
Central (IA),4,56,27,169,0.172,52,8,8,70,89,6,5,2,3,70,0,5667761
Augsburg,4,51,21,151,0.199,48,4,6,62,87,7,1,10,0,61,0,5667765
Wis.-Whitewater,4,60,25,154,0.227,58,7,8,65,85,4,1,16,3,76,0,5667765
Cornell College,5,54,24,164,0.183,53,5,14,68,94,7,2,12,3,67,0,5667767
Aurora,5,59,28,167,0.186,56,7,13,75,89,5,0,16,1,74,0,5667767
Concordia (TX),3,43,19,130,0.185,41,2,5,67,72,9,0,2,1,46,0,5667771
Benedictine (IL),3,38,17,125,0.168,37,9,2,64,60,2,1,12,1,54,0,5667771
St. Scholastica,3,24,15,101,0.089,22,3,4,45,64,15,0,2,0,28,0,5667786
Simpson,3,38,9,97,0.299,31,15,9,49,48,3,1,6,0,57,0,5667786
Buena Vista,3,31,18,118,0.11,23,5,9,51,69,9,1,6,0,40,0,5667787
Bethany Lutheran,3,32,12,118,0.169,28,9,6,53,54,5,2,2,0,44,0,5667787
Dominican (IL),5,48,19,170,0.171,35,16,14,64,97,8,2,0,0,66,1,5667789
Blackburn,5,51,21,179,0.168,42,8,4,71,92,16,2,2,0,62,0,5667789
Wis.-La Crosse,4,45,26,161,0.118,41,5,9,72,84,12,0,10,2,55,2,5667790
Adrian,4,43,18,143,0.175,39,12,9,74,73,5,3,4,1,60,2,5667790
Wartburg,3,36,8,95,0.295,34,11,9,43,47,2,2,8,1,53,0,5667792
MSOE,3,28,24,98,0.041,28,2,3,46,64,11,0,0,3,30,0,5667792
Luther,4,45,19,129,0.202,40,6,4,61,78,8,3,16,3,62,0,5667796
Martin Luther,4,51,31,156,0.128,49,8,6,64,86,6,1,4,2,62,0,5667796
Cortland,5,58,25,163,0.202,52,10,9,59,103,12,0,22,1,79,0,5667797
Saint Benedict,5,64,27,165,0.224,62,12,6,68,97,10,0,16,0,84,3,5667797
St. John Fisher,3,29,12,96,0.177,28,15,7,40,51,2,0,6,0,47,0,5667700
Dallas,3,32,23,106,0.085,27,2,4,45,66,15,1,2,0,36,0,5667700
Marian (WI),5,60,34,186,0.14,57,10,14,75,97,10,3,10,3,78,1,5667753
