"match_id","home","away","site","match_date","attendance","home_set1","home_set2","home_set3","home_set4","home_set5","away_set1","away_set2","away_set3","away_set4","away_set5","neutral_site"
"4474883","Queens (NC)","Tusculum","Charlotte, NC","03/16/2024 03:00 PM","97",25,25,25,NA,NA,10,22,21,NA,NA,""
"4474884","Saint Francis","Penn St.","Loretto, PA","03/16/2024 03:00 PM","513",25,25,23,15,13,17,23,25,25,15,""
"4493109","Life (GA)","Edward Waters","Laurinburg, NC","03/16/2024 03:30 PM","0",27,25,25,NA,NA,25,16,21,NA,NA,"at Laurinburg, NC"
"4474894","Lewis","Quincy","Neil Carey Arena (Romeoville, IL)","03/16/2024 05:00 PM","600",25,25,25,NA,NA,23,18,23,NA,NA,""
"4474900","George Mason","Mount Olive","EagleBank Arena (Fairfax, VA)","03/16/2024 05:00 PM","198",25,25,22,25,NA,16,16,25,19,NA,""
"4474901","LIU","FDU","Brookville, NY","03/16/2024 05:00 PM","88",29,26,25,NA,NA,27,24,18,NA,NA,""
"4474903","St. Andrews","Edward Waters",",","03/16/2024 05:30 PM","135",25,25,21,24,15,20,20,25,26,9,""
"4474897","Loyola Chicago","McKendree","Gentile arena (Chicago, IL)","03/16/2024 06:00 PM","594",25,25,26,NA,NA,22,13,24,NA,NA,""
"4474895","Grand Canyon","NJIT","GCU Arena (Phoenix, AZ)","03/16/2024 07:00 PM","557",19,25,25,25,NA,25,22,23,17,NA,""
"4474906","Purdue Fort Wayne","Ohio St.","Gates Sports Center (Fort Wayne, IN)","03/16/2024 07:00 PM","671",25,25,25,NA,NA,18,23,23,NA,NA,""
"4474899","Pepperdine","CUI","Firestone Fieldhouse (Malibu, CA)","03/16/2024 08:00 PM","681",25,25,25,NA,NA,18,20,21,NA,NA,""
"4474904","Long Beach St.","Hawaii","Long Beach, CA","03/16/2024 10:00 PM","4062",25,20,25,24,15,20,25,23,26,13,""
"4474910","Penn St.","Saint Francis","University Park, PA","03/17/2024 03:00 PM","809",25,23,19,25,15,15,25,25,22,7,""
"4474916","King (TN)","Lincoln Memorial","Bristol, TN","03/19/2024 06:00 PM","114",22,19,22,NA,NA,25,25,25,NA,NA,""
"4474922","Lees-McRae","Tusculum","Williams Gymnasium (Banner Elk, NC)","03/19/2024 07:00 PM","117",17,18,19,NA,NA,25,25,25,NA,NA,""
"4474923","Emmanuel (GA)","Talladega","Franklin Springs, GA","03/19/2024 07:00 PM","100",25,25,25,NA,NA,10,21,17,NA,NA,""
"4474925","Maryville (MO)","Fontbonne","St. Louis, MO","03/19/2024 08:00 PM","204",25,25,25,NA,NA,18,23,23,NA,NA,""
"4474940","Lindenwood","McKendree","St. Charles, MO","03/20/2024 08:00 PM","287",25,32,25,NA,NA,21,30,23,NA,NA,""
"4474964","Queens (NC)","Lewis","Charlotte, NC","03/21/2024 06:00 PM","54",25,11,23,14,NA,21,25,25,25,NA,""
"4474969","Ball St.","Ohio St.","Muncie, IN","03/21/2024 07:00 PM","1246",18,16,18,NA,NA,25,25,25,NA,NA,""
"4474973","Quincy","Loyola Chicago","Quincy, IL","03/21/2024 08:00 PM","453",15,16,16,NA,NA,25,25,25,NA,NA,""
