"Name","S","MS","Kills","Errors","TotalAttacks","HitPct","Assists","Aces","SErr","Digs","RErr","BlockSolos","BlockAssists","BErr","PTS","BHE","match_id"
"Fort Valley St.",4,0,48,20,110,0.255,43,8,14,34,3,0,7,0,59.5,0,"6083898"
"Lincoln Memorial",4,0,49,17,111,0.288,47,5,14,42,2,7,10,1,66,0,"6083899"
"Charleston (WV)",4,0,52,28,135,0.178,50,2,16,41,5,4,9,0,62.5,0,"6083899"
"American Int'l",3,0,27,14,71,0.183,27,0,10,23,8,1,2,3,29,0,"6316425"
"Emmanuel (MA)",3,0,39,8,74,0.419,38,8,16,24,0,1,10,1,53,0,"6316425"
"Rockhurst",4,0,37,18,98,0.194,36,2,18,42,8,2,8,1,45,0,"6083901"
"Saint Francis",4,0,54,23,127,0.244,50,8,30,38,2,1,20,2,73,0,"6083901"
"Penn St.",4,0,38,23,108,0.139,35,5,31,31,6,1,22,1,55,0,"6083903"
"Stanford",4,0,42,18,99,0.242,37,6,31,37,5,0,20,0,58,0,"6083903"
"St. Thomas Aquinas",3,0,27,16,84,0.131,25,3,13,24,6,0,13,1,36.5,0,"6083906"
"Harvard",3,0,38,12,77,0.338,37,6,15,26,3,2,18,1,55,0,"6083906"
"George Mason",4,0,38,12,95,0.274,38,3,22,22,9,1,16,0,50,0,"6083904"
"Grand Canyon",4,0,53,21,100,0.32,46,9,19,34,3,3,4,2,67,0,"6083904"
"Purdue Fort Wayne",3,0,35,18,85,0.2,35,2,12,25,9,1,8,0,42,0,"6083905"
"UC San Diego",3,0,36,12,82,0.293,34,9,13,22,2,1,13,1,52.5,0,"6083905"
"Ohio St.",4,0,39,19,87,0.23,36,7,15,24,4,1,8,0,51,0,"6083881"
"UCLA",4,0,47,15,91,0.352,45,4,27,25,7,3,18,2,63,0,"6083881"
"Rockhurst",4,0,36,16,100,0.2,36,3,12,35,12,0,8,0,43,0,"6083910"
"Loyola Chicago",4,0,50,13,105,0.352,46,12,19,36,3,2,14,2,71,0,"6083910"
"Long Beach St.",4,0,63,20,127,0.339,59,8,16,50,3,3,15,1,81.5,0,"6083911"
"Lewis",4,0,50,16,120,0.283,46,3,10,41,8,1,11,1,59.5,0,"6083911"
"D'Youville",3,0,29,17,74,0.162,26,3,13,19,6,1,5,2,35.5,0,"6083912"
"CUI",3,0,38,8,72,0.417,36,6,18,22,3,0,15,2,51.5,0,"6083912"
"Lindenwood",4,0,44,22,120,0.183,43,4,9,37,3,0,15,0,55.5,0,"6083908"
"CSUN",4,0,64,15,126,0.389,62,3,15,46,4,5,16,0,80,0,"6083908"
"Emmanuel (GA)",3,0,20,20,82,0,19,1,13,16,5,0,4,1,23,1,"6083909"
"Southern California",3,0,36,6,61,0.492,30,5,9,29,1,1,21,2,52.5,0,"6083909"
"Tusculum",4,0,37,25,93,0.129,33,4,18,26,15,3,0,5,44,0,"6083913"
"Queens (NC)",4,0,39,10,83,0.349,35,15,19,25,4,2,12,2,62,0,"6083913"
"Tusculum",4,0,60,21,122,0.32,55,8,13,36,4,5,0,3,73,0,"6083914"
"Barton",4,0,53,16,117,0.316,52,4,7,35,8,4,12,0,67,0,"6083914"
"Barton",4,0,37,23,103,0.136,35,4,10,33,9,3,8,3,48,0,"6083916"
"Queens (NC)",4,0,59,20,121,0.322,52,9,20,36,4,3,10,1,76,0,"6083916"
"D'Youville",3,0,13,12,54,0.019,13,0,6,8,15,0,0,2,13,0,"6083915"
